Abranoplie	2			30	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0		12	6
Abranoplie	3			40	0	0	1	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	9	0	0	0	0		12	6
Abranoplie	4			50	0	0	1	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	12	0	0	0	0		12	6
Abranoplie	5			60	0	0	2	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	15	0	0	0	0		12	6
Ame de Crocoburio	2			0	0	0	0	0	15	10	0	0	0	0	0	0	2	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Ame de Crocoburio	3			0	0	0	0	0	30	10	0	0	0	0	0	0	2	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Chapanoplie	2			20	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Chispanoplie	2			0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Clementopanoplie	2			0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0		12	6
Diplanoplie	2			40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0		12	6
Frimanoplie	2			0	0	0	0	0	0	0	30	30	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	10	20	10	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	20	0	0		12	6
Frimanoplie	3			0	1	0	0	0	0	0	30	30	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	15	25	15	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	20	0	0		12	6
Frimanoplie	4			0	1	0	0	0	0	0	50	50	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	25	35	28	23	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	20	0	0		12	6
Givranoplie	2			20	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Gladianoplie	2			0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
Glaglanoplie	2			0	0	0	2	0	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	6
